,ID,Museum,Website,City,State,ZIP Code,General Admission,Median Income,Monthly Median Income,Index
234,241,Akron Art Museum,akronartmuseum.org,Akron,Ohio,44308,12.0,15875.0,1322.9,90.7
263,270,Carnegie Museum of Art,cmoa.org,Pittsburgh,Pennsylvania,15213,20.0,28790.0,2399.2,83.4
209,215,Museum of the City of New York,mcny.org,New York,New York,10029,23.0,35640.0,2970.0,77.4
79,85,Peoria Riverfront Museum,peoriariverfrontmuseum.org,Peoria,Illinois,61602,12.0,20000.0,1666.7,72.0
138,144,Michele & Donald DAmour Museum of Fine Arts,springfieldmuseums.org,Springfield,Massachusetts,1105,13.0,23948.0,1995.7,65.1
261,268,University of Pennsylvania Museum of Archaeology and Anthropology,penn.museum,Philadelphia,Pennsylvania,19104,18.0,33766.0,2813.8,64.0
87,93,Figge Art Museum,figgeartmuseum.org,Davenport,Iowa,52801,12.0,24255.0,2021.2,59.4
114,120,Boston Museum of Fine Arts,mfa.org,Boston,Massachusetts,2115,25.0,51454.0,4287.8,58.3
276,283,Columbia Museum of Art,columbiamuseum.org,Columbia,South Carolina,29201,15.0,33561.0,2796.8,53.6
95,101,Speed Art Museum,speedmuseum.org,Louisville,Kentucky,40208,15.0,34206.0,2850.5,52.6
14,15,The Broad,thebroad.org,Los Angeles,California,90012,25.0,58444.0,4870.3,51.3
268,275,Ponce Museum of Art,museoarteponce.org,Ponce,Puerto Rico,717,6.0,14164.0,1180.3,50.8
204,210,The Cloisters,metmuseum.org/visit/met-cloisters,New York,New York,10040,25.0,59115.0,4926.2,50.7
211,217,New Museum of Contemporary Art,newmuseum.org,New York,New York,10002,18.0,43362.0,3613.5,49.8
148,154,Detroit Institute of Arts,dia.org,Detroit,Michigan,48202,14.0,34244.0,2853.7,49.1
27,28,Asian Art Museum of San Francisco,asianart.org,San Francisco,California,94102,25.0,62388.0,5199.0,48.1
63,69,Telfair Museum of Art,telfair.org,Savannah,Georgia,31401,20.0,49881.0,4156.8,48.1
82,88,Indianapolis Museum of Art,discovernewfields.org,Indianapolis,Indiana,46208,18.0,46693.0,3891.1,46.3
57,63,Salvador Dali Museum,thedali.org,St. Petersburg,Florida,33701,25.0,65058.0,5421.5,46.1
132,138,Massachusetts Museum of Contemporary Art,massmoca.org,North Adams,Massachusetts,1247,20.0,53692.0,4474.3,44.7
252,259,Portland Art Museum,portlandartmuseum.org,Portland,Oregon,97205,20.0,56739.0,4728.2,42.3
265,272,Mattress Factory,mattress.org,Pittsburgh,Pennsylvania,15212,20.0,57837.0,4819.8,41.5
5,6,Phoenix Art Museum,phxart.org,Phoenix,Arizona,85004,23.0,67727.0,5643.9,40.8
246,253,National Cowboy & Western Heritage Museum,nationalcowboymuseum.org,Oklahoma City,Oklahoma,73111,12.5,37908.0,3159.0,39.6
102,108,Portland Museum of Art,portlandmuseum.org,Portland,Maine,4101,18.0,54513.0,4542.8,39.6
58,64,Norton Museum of Art,norton.org,West Palm Beach,Florida,33401,18.0,55238.0,4603.2,39.1
56,62,Ringling Museum of Art,ringling.org,Sarasota,Florida,34243,25.0,77236.0,6436.3,38.8
222,228,Asheville Art Museum,ashevilleart.org,Asheville,North Carolina,28801,15.0,46496.0,3874.7,38.7
283,290,Frist Center for the Visual Arts,fristartmuseum.org,Nashville,Tennessee,37203,20.0,63834.0,5319.5,37.6
248,255,Gilcrease Museum,gilcrease.org,Tulsa,Oklahoma,74127,15.0,47983.0,3998.6,37.5
277,284,Hunter Museum of American Art,huntermuseum.org,Chattanooga,Tennessee,37403,20.0,64583.0,5381.9,37.2
146,152,Worcester Art Museum,worcesterart.org,Worcester,Massachusetts,1609,18.0,58246.0,4853.8,37.1
254,261,Allentown Art Museum,allentownartmuseum.org,Allentown,Pennsylvania,18101,12.0,39044.0,3253.7,36.9
351,361,Milwaukee Art Museum,mam.org,Milwaukee,Wisconsin,53202,19.0,62505.0,5208.8,36.5
220,226,Everson Museum of Art,everson.org,Syracuse,New York,13202,8.0,26271.0,2189.2,36.5
115,121,Isabella Stewart Gardner Museum,gardnermuseum.org,Boston,Massachusetts,2115,15.0,51454.0,4287.8,35.0
104,110,Farnsworth Art Museum,farnsworthmuseum.org,Rockland,Maine,4841,15.0,52212.0,4351.0,34.5
154,160,Ohr-O'Keefe Museum of Art,georgeohr.org,Biloxi,Mississippi,39530,10.0,35109.0,2925.8,34.2
230,237,Reynolda House Museum of American Art,reynoldahouse.org,Winston-Salem,North Carolina,27106,18.0,63308.0,5275.7,34.1
179,185,Georgia O'Keefe Museum,okeeffemuseum.org,Santa Fe,New Mexico,87501,22.0,77400.0,6450.0,34.1
218,224,Memorial Art Gallery,mag.rochester.edu,Rochester,New York,14607,15.0,53281.0,4440.1,33.8
70,76,Art Institute of Chicago,artic.edu,Chicago,Illinois,60603,35.0,124888.0,10407.3,33.6
153,159,Mississippi Museum of Art,msmuseumart.org,Jackson,Mississippi,39202,10.0,36359.0,3029.9,33.0
333,342,Seattle Art Museum,seattleartmuseum.org,Seattle,Washington,98101,30.0,111099.0,9258.2,32.4
264,271,Frick Art & Historical Center,thefrickpittsburgh.org,Pittsburgh,Pennsylvania,15208,15.0,55775.0,4647.9,32.3
190,196,Corning Museum of Glass,cmog.org,Corning,New York,14830,20.0,74314.0,6192.8,32.3
18,19,Crocker Art Museum,crockerart.org,Sacramento,California,95814,12.0,44537.0,3711.4,32.3
65,71,Honolulu Museum of Art,honolulumuseum.org,Honolulu,Hawaii,96814,20.0,74221.0,6185.1,32.3
74,80,Oriental Institute,oi.uchicago.edu,Chicago,Illinois,60637,10.0,37247.0,3103.9,32.2
35,36,Denver Art Museum,denverartmuseum.org,Denver,Colorado,80204,20.0,74993.0,6249.4,32.0
140,146,Norman Rockwell Museum,nrm.org,Stockbridge,Massachusetts,1262,20.0,75804.0,6317.0,31.7
139,145,Chesterwood Norman Rockwell Museum,chesterwood.org,Stockbridge,Massachusetts,1262,20.0,75804.0,6317.0,31.7
191,197,Rockwell Museum,rockwellmuseum.org,Corning,New York,14810,12.0,45590.0,3799.2,31.6
